# Species	Genes	Alg.-Conn.	042.fasta	11368.fasta	2a301.fasta	ATCC8739.fasta	IAI39.fasta	O55H7.fasta	S88.fasta	Ss046.fasta	W.fasta
9	9	0.888	lcl|FN554766.1_prot_CBG36454.1_3620	lcl|AP010953.1_prot_BAI27626.1_4456	lcl|NC_004337.2_prot_NP_709142.3_3071	lcl|NZ_CP022959.1_prot_WP_000493556.1_358	lcl|NC_011750.1_prot_WP_000493563.1_3816	lcl|CP003109.1_prot_AEZ42447.1_3812	lcl|CU928161.2_prot_CAR04973.1_3599	lcl|CP000038.1_prot_AAZ90058.1_3261	lcl|NC_017635.1_prot_WP_000493556.1_3556
9	9	0.888	lcl|FN554766.1_prot_CBG36470.1_3636	lcl|AP010953.1_prot_BAI27642.1_4472	lcl|NC_004337.2_prot_NP_709157.1_3085	lcl|NZ_CP022959.1_prot_WP_000165552.1_342	lcl|NC_011750.1_prot_WP_000165543.1_3827	lcl|CP003109.1_prot_AEZ42454.1_3819	lcl|CU928161.2_prot_CAR04984.1_3610	lcl|CP000038.1_prot_AAZ90073.1_3276	lcl|NC_017635.1_prot_WP_000165552.1_3572
9	9	0.888	lcl|FN554766.1_prot_CBG36472.1_3638	lcl|AP010953.1_prot_BAI27644.1_4474	lcl|NC_004337.2_prot_NP_709159.1_3087	lcl|NZ_CP022959.1_prot_WP_000816280.1_340	lcl|NC_011750.1_prot_WP_000816280.1_3829	lcl|CP003109.1_prot_AEZ42456.1_3821	lcl|CU928161.2_prot_CAR04986.1_3612	lcl|CP000038.1_prot_AAZ90075.1_3278	lcl|NC_017635.1_prot_WP_000816280.1_3574
9	9	0.888	lcl|FN554766.1_prot_CBG36476.1_3642	lcl|AP010953.1_prot_BAI27648.1_4478	lcl|NC_004337.2_prot_NP_709163.4_3091	lcl|NZ_CP022959.1_prot_WP_000818618.1_336	lcl|NC_011750.1_prot_WP_000818618.1_3833	lcl|CP003109.1_prot_AEZ42460.1_3825	lcl|CU928161.2_prot_CAR04990.1_3616	lcl|CP000038.1_prot_AAZ90079.1_3282	lcl|NC_017635.1_prot_WP_000818618.1_3578
9	9	0.888	lcl|FN554766.1_prot_CBG36522.1_3688	lcl|AP010953.1_prot_BAI27691.1_4521	lcl|NC_004337.2_prot_NP_709207.1_3134	lcl|NZ_CP022959.1_prot_WP_000192559.1_294	lcl|NC_011750.1_prot_WP_000192538.1_3877	lcl|CP003109.1_prot_AEZ42504.1_3869	lcl|CU928161.2_prot_CAR05041.1_3667	lcl|CP000038.1_prot_AAZ90218.1_3421	lcl|NC_017635.1_prot_WP_000192537.1_3623
9	9	0.888	lcl|FN554766.1_prot_CBG36539.1_3705	lcl|AP010953.1_prot_BAI27711.1_4541	lcl|NC_004337.2_prot_NP_709224.2_3151	lcl|NZ_CP022959.1_prot_WP_000416900.1_272	lcl|NC_011750.1_prot_WP_000416894.1_3902	lcl|CP003109.1_prot_AEZ42525.1_3890	lcl|CU928161.2_prot_CAR05063.1_3689	lcl|CP000038.1_prot_AAZ90238.1_3441	lcl|NC_017635.1_prot_WP_000416895.1_3645
9	9	0.888	lcl|FN554766.1_prot_CBG36550.1_3716	lcl|AP010953.1_prot_BAI27722.1_4552	lcl|NC_004337.2_prot_NP_709235.1_3162	lcl|NZ_CP022959.1_prot_WP_000743193.1_261	lcl|NC_011750.1_prot_WP_000743195.1_3913	lcl|CP003109.1_prot_AEZ42538.1_3903	lcl|CU928161.2_prot_CAR05080.1_3706	lcl|CP000038.1_prot_AAZ90249.1_3452	lcl|NC_017635.1_prot_WP_000743193.1_3658
9	9	0.888	lcl|FN554766.1_prot_CBG36560.1_3726	lcl|AP010953.1_prot_BAI27731.1_4561	lcl|NC_004337.2_prot_NP_709244.1_3171	lcl|NZ_CP022959.1_prot_WP_001297848.1_252	lcl|NC_011750.1_prot_WP_001361522.1_3922	lcl|CP003109.1_prot_AEZ42547.1_3912	lcl|CU928161.2_prot_CAR05089.1_3715	lcl|CP000038.1_prot_AAZ90258.1_3461	lcl|NC_017635.1_prot_WP_001297848.1_3667
9	9	0.888	lcl|FN554766.1_prot_CBG36752.1_3918	lcl|AP010953.1_prot_BAI28134.1_4978	lcl|NC_004337.2_prot_NP_709399.1_3328	lcl|NZ_CP022959.1_prot_WP_000587749.1_94	lcl|NC_011750.1_prot_WP_000587750.1_4098	lcl|CP003109.1_prot_AEZ42729.1_4094	lcl|CU928161.2_prot_CAR05244.1_3870	lcl|CP000038.1_prot_AAZ90329.1_3532	lcl|NC_017635.1_prot_WP_000587750.1_3831
9	9	0.888	lcl|FN554766.1_prot_CBG36767.1_3933	lcl|AP010953.1_prot_BAI28119.1_4963	lcl|NC_004337.2_prot_NP_709416.1_3345	lcl|NZ_CP022959.1_prot_WP_000091955.1_78	lcl|NC_011750.1_prot_WP_000091955.1_4114	lcl|CP003109.1_prot_AEZ42744.1_4109	lcl|CU928161.2_prot_CAR05260.1_3886	lcl|CP000038.1_prot_AAZ90313.1_3516	lcl|NC_017635.1_prot_WP_000091955.1_3847
9	9	0.888	lcl|FN554766.1_prot_CBG36772.1_3938	lcl|AP010953.1_prot_BAI28114.1_4958	lcl|NC_004337.2_prot_NP_709421.2_3350	lcl|NZ_CP022959.1_prot_WP_000806177.1_73	lcl|NC_011750.1_prot_WP_000806184.1_4120	lcl|CP003109.1_prot_AEZ42749.1_4114	lcl|CU928161.2_prot_CAR05265.1_3891	lcl|CP000038.1_prot_AAZ90308.1_3511	lcl|NC_017635.1_prot_WP_000806162.1_3852
9	9	0.888	lcl|FN554766.1_prot_CBG36814.1_3980	lcl|AP010953.1_prot_BAI28100.1_4944	lcl|NC_004337.2_prot_NP_709435.2_3364	lcl|NZ_CP022959.1_prot_WP_001295239.1_60	lcl|NC_011750.1_prot_WP_012602586.1_4135	lcl|CP003109.1_prot_AEZ42763.1_4128	lcl|CU928161.2_prot_CAR05278.1_3904	lcl|CP000038.1_prot_AAZ90294.1_3497	lcl|NC_017635.1_prot_WP_001350041.1_3866
9	9	0.888	lcl|FN554766.1_prot_CBG36887.1_4053	lcl|AP010953.1_prot_BAI28035.1_4877	lcl|NC_004337.2_prot_NP_709495.2_3418	lcl|NZ_CP022959.1_prot_WP_000378258.1_4453	lcl|NC_011750.1_prot_WP_000378258.1_4265	lcl|CP003109.1_prot_AEZ42866.1_4231	lcl|CU928161.2_prot_CAR05335.1_3962	lcl|CP000038.1_prot_AAZ90204.1_3407	lcl|NC_017635.1_prot_WP_000378258.1_3936
9	9	0.888	lcl|FN554766.1_prot_CBG36952.1_4118	lcl|AP010953.1_prot_BAI27997.1_4839	lcl|NC_004337.2_prot_NP_709552.3_3474	lcl|NZ_CP022959.1_prot_WP_000116695.1_4419	lcl|NC_011750.1_prot_WP_000116695.1_4299	lcl|CP003109.1_prot_AEZ42899.1_4264	lcl|CU928161.2_prot_CAR05367.1_3995	lcl|CP000038.1_prot_AAZ90419.1_3622	lcl|NC_017635.1_prot_WP_000116695.1_3974
9	9	0.888	lcl|FN554766.1_prot_CBG36957.1_4123	lcl|AP010953.1_prot_BAI27992.1_4834	lcl|NC_004337.2_prot_NP_709557.1_3479	lcl|NZ_CP022959.1_prot_WP_000845104.1_4414	lcl|NC_011750.1_prot_WP_000845132.1_4304	lcl|CP003109.1_prot_AEZ42904.1_4269	lcl|CU928161.2_prot_CAR05372.1_4000	lcl|CP000038.1_prot_AAZ90414.1_3617	lcl|NC_017635.1_prot_WP_000845141.1_3979
9	9	0.888	lcl|FN554766.1_prot_CBG36984.1_4150	lcl|AP010953.1_prot_BAI27965.1_4807	lcl|NC_004337.2_prot_NP_709583.1_3505	lcl|NZ_CP022959.1_prot_WP_000047499.1_4386	lcl|NC_011750.1_prot_WP_000047509.1_2985	lcl|CP003109.1_prot_AEZ42930.1_4295	lcl|CU928161.2_prot_CAR05399.1_4027	lcl|CP000038.1_prot_AAZ90478.1_3681	lcl|NC_017635.1_prot_WP_000047499.1_4005
9	9	0.888	lcl|FN554766.1_prot_CBG36999.1_4165	lcl|AP010953.1_prot_BAI27949.1_4791	lcl|NC_004337.2_prot_NP_709599.1_3521	lcl|NZ_CP022959.1_prot_WP_001064025.1_4371	lcl|NC_011750.1_prot_WP_001064043.1_2970	lcl|CP003109.1_prot_AEZ42946.1_4311	lcl|CU928161.2_prot_CAR05413.1_4042	lcl|CP000038.1_prot_AAZ90494.1_3697	lcl|NC_017635.1_prot_WP_001064038.1_4020
9	9	0.888	lcl|FN554766.1_prot_CBG37008.1_4174	lcl|AP010953.1_prot_BAI27942.1_4783	lcl|NC_004337.2_prot_NP_709608.1_3529	lcl|NZ_CP022959.1_prot_WP_119809184.1_4363	lcl|NC_011750.1_prot_WP_000281696.1_2962	lcl|CP003109.1_prot_AEZ42954.1_4319	lcl|CU928161.2_prot_CAR05421.1_4050	lcl|CP000038.1_prot_AAZ90501.1_3704	lcl|NC_017635.1_prot_WP_000281680.1_4028
9	9	0.888	lcl|FN554766.1_prot_CBG37111.1_4277	lcl|AP010953.1_prot_BAI27838.1_4673	lcl|NC_004337.2_prot_NP_709717.1_3632	lcl|NZ_CP022959.1_prot_WP_000580417.1_4264	lcl|NC_011750.1_prot_WP_000580417.1_3063	lcl|CP003109.1_prot_AEZ43062.1_4427	lcl|CU928161.2_prot_CAR05542.1_4170	lcl|CP000038.1_prot_AAZ90596.1_3799	lcl|NC_017635.1_prot_WP_000580417.1_4133
9	9	0.888	lcl|FN554766.1_prot_CBG37114.1_4280	lcl|AP010953.1_prot_BAI27835.1_4670	lcl|NC_004337.2_prot_NP_709720.2_3635	lcl|NZ_CP022959.1_prot_WP_001076742.1_4261	lcl|NC_011750.1_prot_WP_001076748.1_3060	lcl|CP003109.1_prot_AEZ43065.1_4430	lcl|CU928161.2_prot_CAR05545.1_4173	lcl|CP000038.1_prot_AAZ90599.1_3802	lcl|NC_017635.1_prot_WP_001076742.1_4180
9	9	0.888	lcl|FN554766.1_prot_CBG37139.1_4305	lcl|AP010953.1_prot_BAI27809.1_4644	lcl|NC_004337.2_prot_NP_709744.1_3658	lcl|NZ_CP022959.1_prot_WP_000110743.1_4233	lcl|NC_011750.1_prot_WP_000110774.1_3033	lcl|CP003109.1_prot_AEZ43097.1_4462	lcl|CU928161.2_prot_CAR05570.1_4198	lcl|CP000038.1_prot_AAZ90629.1_3832	lcl|NC_017635.1_prot_WP_000110772.1_4209
9	9	0.888	lcl|FN554766.1_prot_CBG37159.1_4325	lcl|AP010953.1_prot_BAI28228.1_5076	lcl|NC_004337.2_prot_NP_709759.2_3672	lcl|NZ_CP022959.1_prot_WP_001302318.1_4214	lcl|NC_011750.1_prot_WP_001572167.1_3010	lcl|CP003109.1_prot_AEZ43116.1_4481	lcl|CU928161.2_prot_CAR05593.1_4221	lcl|CP000038.1_prot_AAZ90645.1_3848	lcl|NC_017635.1_prot_WP_001302318.1_4228
9	9	0.888	lcl|FN554766.1_prot_CBG37166.1_4332	lcl|AP010953.1_prot_BAI28235.1_5083	lcl|NC_004337.2_prot_NP_709770.2_3683	lcl|NZ_CP022959.1_prot_WP_000591359.1_4207	lcl|NC_011750.1_prot_WP_000591361.1_3003	lcl|CP003109.1_prot_AEZ43125.1_4490	lcl|CU928161.2_prot_CAR05604.1_4232	lcl|CP000038.1_prot_AAZ90652.1_3855	lcl|NC_017635.1_prot_WP_000591359.1_4235
9	9	0.888	lcl|FN554766.1_prot_CBG37177.1_4343	lcl|AP010953.1_prot_BAI28246.1_5094	lcl|NC_004337.2_prot_NP_709781.1_3694	lcl|NZ_CP022959.1_prot_WP_000028878.1_4196	lcl|NC_011750.1_prot_WP_000028878.1_4326	lcl|CP003109.1_prot_AEZ43136.1_4501	lcl|CU928161.2_prot_CAR05616.1_4243	lcl|CP000038.1_prot_AAZ90664.1_3867	lcl|NC_017635.1_prot_WP_000028878.1_4246
9	9	0.888	lcl|FN554766.1_prot_CBG37217.1_4383	lcl|AP010953.1_prot_BAI28288.1_5139	lcl|NC_004337.2_prot_NP_709895.1_3809	lcl|NZ_CP022959.1_prot_WP_001290318.1_4163	lcl|NC_011750.1_prot_WP_001290321.1_4398	lcl|CP003109.1_prot_AEZ43177.1_4542	lcl|CU928161.2_prot_CAR05658.1_4285	lcl|CP000038.1_prot_AAZ90701.1_3904	lcl|NC_017635.1_prot_WP_001290316.1_4282
9	9	0.888	lcl|FN554766.1_prot_CBG37218.1_4384	lcl|AP010953.1_prot_BAI28289.1_5140	lcl|NC_004337.2_prot_NP_709894.2_3808	lcl|NZ_CP022959.1_prot_WP_000789986.1_4162	lcl|NC_011750.1_prot_WP_000789981.1_4399	lcl|CP003109.1_prot_AEZ43178.1_4543	lcl|CU928161.2_prot_CAR05659.1_4286	lcl|CP000038.1_prot_AAZ90702.1_3905	lcl|NC_017635.1_prot_WP_000790009.1_4283
9	9	0.888	lcl|FN554766.1_prot_CBG37246.1_4412	lcl|AP010953.1_prot_BAI28315.1_5170	lcl|NC_004337.2_prot_NP_709866.2_3779	lcl|NZ_CP022959.1_prot_WP_000486988.1_4131	lcl|NC_011750.1_prot_WP_000487001.1_4427	lcl|CP003109.1_prot_AEZ43209.1_4574	lcl|CU928161.2_prot_CAR05693.1_4320	lcl|CP000038.1_prot_AAZ90732.1_3935	lcl|NC_017635.1_prot_WP_000486997.1_4314
9	9	0.888	lcl|FN554766.1_prot_CBG37248.1_4414	lcl|AP010953.1_prot_BAI28317.1_5172	lcl|NC_004337.2_prot_NP_709864.2_3777	lcl|NZ_CP022959.1_prot_WP_001315956.1_4129	lcl|NC_011750.1_prot_WP_001226927.1_4429	lcl|CP003109.1_prot_AEZ43211.1_4576	lcl|CU928161.2_prot_CAR05704.1_4331	lcl|CP000038.1_prot_AAZ90733.1_3936	lcl|NC_017635.1_prot_WP_001317548.1_4316
9	9	0.888	lcl|FN554766.1_prot_CBG37270.1_4436	lcl|AP010953.1_prot_BAI28337.1_5194	lcl|NC_004337.2_prot_NP_709852.1_3765	lcl|NZ_CP022959.1_prot_WP_000812893.1_4108	lcl|NC_011750.1_prot_WP_000812981.1_4450	lcl|CP003109.1_prot_AEZ43232.1_4597	lcl|CU928161.2_prot_CAR05727.1_4354	lcl|CP000038.1_prot_AAZ90753.1_3956	lcl|NC_017635.1_prot_WP_000812901.1_4337
9	9	0.888	lcl|FN554766.1_prot_CBG37271.1_4437	lcl|AP010953.1_prot_BAI28338.1_5195	lcl|NC_004337.2_prot_NP_709853.1_3766	lcl|NZ_CP022959.1_prot_WP_000789589.1_4107	lcl|NC_011750.1_prot_WP_000789589.1_4451	lcl|CP003109.1_prot_AEZ43233.1_4598	lcl|CU928161.2_prot_CAR05728.1_4355	lcl|CP000038.1_prot_AAZ90754.1_3957	lcl|NC_017635.1_prot_WP_000835799.1_4338
9	9	0.888	lcl|FN554766.1_prot_CBG37297.1_4463	lcl|AP010953.1_prot_BAI28364.1_5221	lcl|NC_004337.2_prot_NP_709832.1_3745	lcl|NZ_CP022959.1_prot_CJZ69_RS21335_4075	lcl|NC_011750.1_prot_WP_000288578.1_4483	lcl|CP003109.1_prot_AEZ43268.1_4633	lcl|CU928161.2_prot_CAR05767.1_4393	lcl|CP000038.1_prot_AAZ90778.1_3981	lcl|NC_017635.1_prot_WP_000288596.1_4364
9	9	0.888	lcl|FN554766.1_prot_CBG37299.1_4465	lcl|AP010953.1_prot_BAI28366.1_5223	lcl|NC_004337.2_prot_NP_709830.2_3743	lcl|NZ_CP022959.1_prot_WP_001298520.1_4073	lcl|NC_011750.1_prot_WP_001298520.1_4485	lcl|CP003109.1_prot_AEZ43270.1_4635	lcl|CU928161.2_prot_CAR05769.1_4395	lcl|CP000038.1_prot_AAZ90780.1_3983	lcl|NC_017635.1_prot_WP_001296882.1_4366
9	9	0.888	lcl|FN554766.1_prot_CBG37309.1_4475	lcl|AP010953.1_prot_BAI28377.1_5234	lcl|NC_004337.2_prot_NP_709819.1_3732	lcl|NZ_CP022959.1_prot_WP_000066696.1_4061	lcl|NC_011750.1_prot_WP_000066697.1_4497	lcl|CP003109.1_prot_AEZ43281.1_4646	lcl|CU928161.2_prot_CAR05779.1_4405	lcl|CP000038.1_prot_AAZ90792.1_3995	lcl|NC_017635.1_prot_WP_000066681.1_4378
9	9	0.888	lcl|FN554766.1_prot_CBG37451.1_4617	lcl|AP010953.1_prot_BAI28456.1_5318	lcl|NC_004337.2_prot_NP_710018.1_3929	lcl|NZ_CP022959.1_prot_WP_001238378.1_4015	lcl|NC_011750.1_prot_WP_001238369.1_4561	lcl|CP003109.1_prot_AEZ43312.1_4677	lcl|CU928161.2_prot_CAR05887.1_4511	lcl|CP000038.1_prot_AAZ90823.1_4026	lcl|NC_017635.1_prot_WP_001238378.1_4407
9	9	0.888	lcl|FN554766.1_prot_CBG37475.1_4641	lcl|AP010953.1_prot_BAI28481.1_5343	lcl|NC_004337.2_prot_NP_710042.1_3953	lcl|NZ_CP022959.1_prot_WP_000527955.1_3989	lcl|NC_011750.1_prot_WP_000527955.1_4585	lcl|CP003109.1_prot_AEZ43335.1_4700	lcl|CU928161.2_prot_CAR05912.1_4536	lcl|CP000038.1_prot_AAZ90846.1_4049	lcl|NC_017635.1_prot_WP_000527955.1_4431
9	9	0.888	lcl|FN554766.1_prot_CBG37536.1_4702	lcl|AP010953.1_prot_BAI28544.1_5408	lcl|NC_004337.2_prot_NP_709963.1_3875	lcl|NZ_CP022959.1_prot_WP_000187791.1_3926	lcl|NC_011750.1_prot_WP_000187789.1_4656	lcl|CP003109.1_prot_AEZ43397.1_4762	lcl|CU928161.2_prot_CAR05976.1_4600	lcl|CP000038.1_prot_AAZ90899.1_4102	lcl|NC_017635.1_prot_WP_000187791.1_4493
9	9	0.888	lcl|FN554766.1_prot_CBG37550.1_4716	lcl|AP010953.1_prot_BAI28559.1_5424	lcl|NC_004337.2_prot_NP_709946.1_3859	lcl|NZ_CP022959.1_prot_WP_000002953.1_3909	lcl|NC_011750.1_prot_WP_000002952.1_4673	lcl|CP003109.1_prot_AEZ43412.1_4777	lcl|CU928161.2_prot_CAR05990.1_4615	lcl|CP000038.1_prot_AAZ90915.1_4118	lcl|NC_017635.1_prot_WP_000002953.1_4511
9	9	0.888	lcl|FN554766.1_prot_CBG37555.1_4721	lcl|AP010953.1_prot_BAI28563.1_5430	lcl|NC_004337.2_prot_NP_709941.1_3854	lcl|NZ_CP022959.1_prot_WP_000397144.1_3904	lcl|NC_011750.1_prot_WP_000397144.1_4678	lcl|CP003109.1_prot_AEZ43417.1_4782	lcl|CU928161.2_prot_CAR05995.1_4620	lcl|CP000038.1_prot_AAZ90923.1_4126	lcl|NC_017635.1_prot_WP_000397144.1_4516
9	9	0.888	lcl|FN554766.1_prot_CBG37692.1_4858	lcl|AP010953.1_prot_BAI28700.1_5580	lcl|NC_004337.2_prot_NP_710114.2_4025	lcl|NZ_CP022959.1_prot_WP_000175943.1_3830	lcl|NC_011750.1_prot_WP_000202563.1_4847	lcl|CP003109.1_prot_AEZ43518.1_4883	lcl|CU928161.2_prot_CAR06194.1_4817	lcl|CP000038.1_prot_AAZ90993.1_4196	lcl|NC_017635.1_prot_WP_000175943.1_4631
9	9	0.888	lcl|FN554766.1_prot_CBG37699.1_4865	lcl|AP010953.1_prot_BAI28707.1_5587	lcl|NC_004337.2_prot_NP_710121.2_4032	lcl|NZ_CP022959.1_prot_WP_001295412.1_3823	lcl|NC_011750.1_prot_WP_001295412.1_4855	lcl|CP003109.1_prot_AEZ43525.1_4890	lcl|CU928161.2_prot_CAR06201.1_4824	lcl|CP000038.1_prot_AAZ91000.1_4203	lcl|NC_017635.1_prot_WP_001295412.1_4638
9	9	0.888	lcl|FN554766.1_prot_CBG37706.1_4872	lcl|AP010953.1_prot_BAI28713.1_5594	lcl|NC_004337.2_prot_NP_710127.1_4038	lcl|NZ_CP022959.1_prot_WP_001132955.1_3816	lcl|NC_011750.1_prot_WP_001132944.1_4862	lcl|CP003109.1_prot_AEZ43532.1_4897	lcl|CU928161.2_prot_CAR06208.1_4831	lcl|CP000038.1_prot_AAZ91006.1_4209	lcl|NC_017635.1_prot_WP_001132955.1_4645
9	9	0.888	lcl|FN554766.1_prot_CBG37707.1_4873	lcl|AP010953.1_prot_BAI28714.1_5595	lcl|NC_004337.2_prot_NP_710128.2_4039	lcl|NZ_CP022959.1_prot_WP_001029698.1_3815	lcl|NC_011750.1_prot_WP_001414703.1_4863	lcl|CP003109.1_prot_AEZ43533.1_4898	lcl|CU928161.2_prot_CAR06209.1_4832	lcl|CP000038.1_prot_AAZ91007.1_4210	lcl|NC_017635.1_prot_WP_001029698.1_4646
9	9	0.887	lcl|FN554766.1_prot_CBG32848.1_14	lcl|AP010953.1_prot_BAI23377.1_13	lcl|NC_004337.2_prot_NP_705973.1_13	lcl|NZ_CP022959.1_prot_WP_000516135.1_3787	lcl|NC_011750.1_prot_WP_000516135.1_13	lcl|CP003109.1_prot_AEZ38647.1_12	lcl|CU928161.2_prot_CAR01381.1_13	lcl|CP000038.1_prot_AAZ86811.1_13	lcl|NC_017635.1_prot_WP_000516135.1_14
9	9	0.887	lcl|FN554766.1_prot_CBG32887.1_53	lcl|AP010953.1_prot_BAI23414.1_53	lcl|NC_004337.2_prot_NP_706005.1_47	lcl|NZ_CP022959.1_prot_WP_000257192.1_3751	lcl|NC_011750.1_prot_WP_000257195.1_54	lcl|CP003109.1_prot_AEZ38685.1_50	lcl|CU928161.2_prot_CAR01420.1_52	lcl|CP000038.1_prot_AAZ86852.1_54	lcl|NC_017635.1_prot_WP_000257186.1_48
9	9	0.887	lcl|FN554766.1_prot_CBG32896.1_62	lcl|AP010953.1_prot_BAI23422.1_61	lcl|NC_004337.2_prot_NP_706013.1_55	lcl|NZ_CP022959.1_prot_WP_001117011.1_3743	lcl|NC_011750.1_prot_WP_001117001.1_63	lcl|CP003109.1_prot_AEZ38694.1_59	lcl|CU928161.2_prot_CAR01428.1_60	lcl|CP000038.1_prot_AAZ86860.1_62	lcl|NC_017635.1_prot_WP_001117011.1_56
9	9	0.887	lcl|FN554766.1_prot_CBG32909.1_75	lcl|AP010953.1_prot_BAI23436.1_75	lcl|NC_004337.2_prot_NP_706025.1_67	lcl|NZ_CP022959.1_prot_WP_001140641.1_3729	lcl|NC_011750.1_prot_WP_001140652.1_80	lcl|CP003109.1_prot_AEZ38707.1_72	lcl|CU928161.2_prot_CAR01443.1_75	lcl|CP000038.1_prot_AAZ86874.1_76	lcl|NC_017635.1_prot_WP_001140652.1_70
9	9	0.887	lcl|FN554766.1_prot_CBG32918.1_84	lcl|AP010953.1_prot_BAI23447.1_86	lcl|NC_004337.2_prot_NP_706038.1_80	lcl|NZ_CP022959.1_prot_WP_000625658.1_3717	lcl|NC_011750.1_prot_WP_000625658.1_92	lcl|CP003109.1_prot_AEZ38716.1_81	lcl|CU928161.2_prot_CAR01452.1_85	lcl|CP000038.1_prot_AAZ86886.1_88	lcl|NC_017635.1_prot_WP_000625658.1_82
9	9	0.887	lcl|FN554766.1_prot_CBG32920.1_86	lcl|AP010953.1_prot_BAI23449.1_88	lcl|NC_004337.2_prot_NP_706040.1_82	lcl|NZ_CP022959.1_prot_WP_000775109.1_3715	lcl|NC_011750.1_prot_WP_000785125.1_94	lcl|CP003109.1_prot_AEZ38718.1_83	lcl|CU928161.2_prot_CAR01454.1_87	lcl|CP000038.1_prot_AAZ86888.1_90	lcl|NC_017635.1_prot_WP_000785152.1_84
9	9	0.887	lcl|FN554766.1_prot_CBG32922.1_88	lcl|AP010953.1_prot_BAI23451.1_90	lcl|NC_004337.2_prot_NP_706042.1_84	lcl|NZ_CP022959.1_prot_WP_000964131.1_3713	lcl|NC_011750.1_prot_WP_000964122.1_96	lcl|CP003109.1_prot_AEZ38720.1_85	lcl|CU928161.2_prot_CAR01456.1_89	lcl|CP000038.1_prot_AAZ86890.1_92	lcl|NC_017635.1_prot_WP_000964131.1_86
9	9	0.887	lcl|FN554766.1_prot_CBG32924.1_90	lcl|AP010953.1_prot_BAI23453.1_92	lcl|NC_004337.2_prot_NP_706044.2_86	lcl|NZ_CP022959.1_prot_WP_001295532.1_3711	lcl|NC_011750.1_prot_WP_001295532.1_98	lcl|CP003109.1_prot_AEZ38722.1_87	lcl|CU928161.2_prot_CAR01458.1_91	lcl|CP000038.1_prot_AAZ86892.1_94	lcl|NC_017635.1_prot_WP_001295532.1_88
9	9	0.887	lcl|FN554766.1_prot_CBG32925.1_91	lcl|AP010953.1_prot_BAI23454.1_93	lcl|NC_004337.2_prot_NP_706045.1_87	lcl|NZ_CP022959.1_prot_WP_000016560.1_3710	lcl|NC_011750.1_prot_WP_000016564.1_99	lcl|CP003109.1_prot_AEZ38723.1_88	lcl|CU928161.2_prot_CAR01459.1_92	lcl|CP000038.1_prot_AAZ86893.1_95	lcl|NC_017635.1_prot_WP_000016559.1_89
9	9	0.887	lcl|FN554766.1_prot_CBG32929.1_95	lcl|AP010953.1_prot_BAI23458.1_97	lcl|NC_004337.2_prot_NP_706049.1_91	lcl|NZ_CP022959.1_prot_WP_000588474.1_3706	lcl|NC_011750.1_prot_WP_000588474.1_103	lcl|CP003109.1_prot_AEZ38727.1_92	lcl|CU928161.2_prot_CAR01463.1_96	lcl|CP000038.1_prot_AAZ86897.1_99	lcl|NC_017635.1_prot_WP_000588474.1_93
9	9	0.887	lcl|FN554766.1_prot_CBG32931.1_97	lcl|AP010953.1_prot_BAI23460.1_99	lcl|NC_004337.2_prot_NP_706051.1_93	lcl|NZ_CP022959.1_prot_WP_000595482.1_3704	lcl|NC_011750.1_prot_WP_000595482.1_105	lcl|CP003109.1_prot_AEZ38729.1_94	lcl|CU928161.2_prot_CAR01465.1_98	lcl|CP000038.1_prot_AAZ86899.1_101	lcl|NC_017635.1_prot_WP_000595482.1_95
9	9	0.887	lcl|FN554766.1_prot_CBG32933.1_99	lcl|AP010953.1_prot_BAI23462.1_101	lcl|NC_004337.2_prot_NP_706053.1_95	lcl|NZ_CP022959.1_prot_WP_000905789.1_3702	lcl|NC_011750.1_prot_WP_000905780.1_107	lcl|CP003109.1_prot_AEZ38731.1_96	lcl|CU928161.2_prot_CAR01467.1_100	lcl|CP000038.1_prot_AAZ86901.1_103	lcl|NC_017635.1_prot_WP_000905789.1_97
9	9	0.887	lcl|FN554766.1_prot_CBG32944.1_110	lcl|AP010953.1_prot_BAI23475.1_114	lcl|NC_004337.2_prot_NP_706066.1_107	lcl|NZ_CP022959.1_prot_WP_000969915.1_3689	lcl|NC_011750.1_prot_WP_012602166.1_120	lcl|CP003109.1_prot_AEZ38742.1_107	lcl|CU928161.2_prot_CAR01479.1_112	lcl|CP000038.1_prot_AAZ86914.1_116	lcl|NC_017635.1_prot_WP_000969915.1_110
9	9	0.887	lcl|FN554766.1_prot_CBG32959.1_125	lcl|AP010953.1_prot_BAI23490.1_129	lcl|NC_004337.2_prot_NP_706080.1_120	lcl|NZ_CP022959.1_prot_WP_000150637.1_3673	lcl|NC_011750.1_prot_WP_000150637.1_135	lcl|CP003109.1_prot_AEZ38757.1_122	lcl|CU928161.2_prot_CAR01501.1_134	lcl|CP000038.1_prot_AAZ86929.1_131	lcl|NC_017635.1_prot_WP_000150637.1_125
9	9	0.887	lcl|FN554766.1_prot_CBG32962.1_128	lcl|AP010953.1_prot_BAI23493.1_132	lcl|NC_004337.2_prot_NP_706083.2_123	lcl|NZ_CP022959.1_prot_WP_000277917.1_3670	lcl|NC_011750.1_prot_WP_000277890.1_138	lcl|CP003109.1_prot_AEZ38760.1_125	lcl|CU928161.2_prot_CAR01505.1_137	lcl|CP000038.1_prot_AAZ86932.1_134	lcl|NC_017635.1_prot_WP_000277863.1_128
