# Species	Genes	Alg.-Conn.	536.fasta	ABU83972.fasta	APEC01.fasta	CFT073.fasta	E2348:69.fasta	ED1a.fasta	S88.fasta	SE15.fasta	UTI89.fasta
9	9	0.938	lcl|NC_008253.1_prot_WP_000357768.1_4186	lcl|CP001671.1_prot_ADN48994.1_4375	lcl|NZ_CP028310.1_prot_WP_000357740.1_4123	lcl|NZ_CP051263.1_prot_WP_000357764.1_4582	lcl|NC_011601.1_prot_WP_000357763.1_4534	lcl|NC_011745.1_prot_WP_000357768.1_4617	lcl|CU928161.2_prot_CAR05707.1_4334	lcl|NC_013654.1_prot_WP_000357763.1_3999	lcl|NC_007946.1_prot_WP_000357763.1_4296
9	9	0.938	lcl|NC_008253.1_prot_WP_000358960.1_3319	lcl|CP001671.1_prot_ADN48167.1_3548	lcl|NZ_CP028310.1_prot_WP_000358960.1_3307	lcl|NZ_CP051263.1_prot_WP_000358960.1_3712	lcl|NC_011601.1_prot_WP_000358960.1_3702	lcl|NC_011745.1_prot_WP_000358960.1_3844	lcl|CU928161.2_prot_CAR04908.1_3534	lcl|NC_013654.1_prot_WP_000358960.1_3202	lcl|NC_007946.1_prot_WP_000358960.1_3502
9	9	0.938	lcl|NC_008253.1_prot_WP_000359455.1_1094	lcl|CP001671.1_prot_ADN45903.1_1284	lcl|NZ_CP028310.1_prot_WP_000359434.1_1208	lcl|NZ_CP051263.1_prot_WP_000359446.1_1324	lcl|NC_011601.1_prot_WP_000359446.1_1300	lcl|NC_011745.1_prot_WP_000359446.1_1239	lcl|CU928161.2_prot_CAR02468.1_1096	lcl|NC_013654.1_prot_WP_000359446.1_1044	lcl|NC_007946.1_prot_WP_000359446.1_1161
9	9	0.938	lcl|NC_008253.1_prot_WP_000364933.1_3618	lcl|CP001671.1_prot_ADN48471.1_3852	lcl|NZ_CP028310.1_prot_WP_000364939.1_3608	lcl|NZ_CP051263.1_prot_WP_000364934.1_4018	lcl|NC_011601.1_prot_WP_000364918.1_3986	lcl|NC_011745.1_prot_WP_000364934.1_4143	lcl|CU928161.2_prot_CAR05219.1_3845	lcl|NC_013654.1_prot_WP_000364934.1_3504	lcl|NC_007946.1_prot_WP_000364934.1_3841
9	9	0.938	lcl|NC_008253.1_prot_WP_000366058.1_2365	lcl|CP001671.1_prot_ADN47207.1_2588	lcl|NZ_CP028310.1_prot_WP_000366028.1_2406	lcl|NZ_CP051263.1_prot_WP_000365998.1_2665	lcl|NC_011601.1_prot_WP_000366063.1_2680	lcl|NC_011745.1_prot_WP_000366071.1_2770	lcl|CU928161.2_prot_CAR03853.1_2480	lcl|NC_013654.1_prot_WP_000366073.1_2314	lcl|NC_007946.1_prot_WP_000366056.1_2556
9	9	0.938	lcl|NC_008253.1_prot_WP_000366847.1_3389	lcl|CP001671.1_prot_ADN48235.1_3616	lcl|NZ_CP028310.1_prot_WP_000366862.1_3381	lcl|NZ_CP051263.1_prot_WP_000366847.1_3780	lcl|NC_011601.1_prot_WP_000366846.1_3756	lcl|NC_011745.1_prot_WP_000366849.1_3907	lcl|CU928161.2_prot_CAR04977.1_3603	lcl|NC_013654.1_prot_WP_000366847.1_3270	lcl|NC_007946.1_prot_WP_000366841.1_3600
9	9	0.938	lcl|NC_008253.1_prot_WP_000372396.1_2679	lcl|CP001671.1_prot_ADN47506.1_2887	lcl|NZ_CP028310.1_prot_WP_000372108.1_2724	lcl|NZ_CP051263.1_prot_WP_000372397.1_3035	lcl|NC_011601.1_prot_WP_000372392.1_3139	lcl|NC_011745.1_prot_WP_000372392.1_3126	lcl|CU928161.2_prot_CAR04267.1_2895	lcl|NC_013654.1_prot_WP_000372392.1_2616	lcl|NC_007946.1_prot_WP_000372397.1_2923
9	9	0.938	lcl|NC_008253.1_prot_WP_000373044.1_1687	lcl|CP001671.1_prot_ADN46555.1_1936	lcl|NZ_CP028310.1_prot_WP_000373021.1_1776	lcl|NZ_CP051263.1_prot_WP_000373044.1_1972	lcl|NC_011601.1_prot_WP_000373044.1_1967	lcl|NC_011745.1_prot_WP_000373044.1_1920	lcl|CU928161.2_prot_CAR03120.1_1748	lcl|NC_013654.1_prot_WP_000373044.1_1664	lcl|NC_007946.1_prot_WP_000373044.1_1833
9	9	0.938	lcl|NC_008253.1_prot_WP_000378258.1_3821	lcl|CP001671.1_prot_ADN48621.1_4002	lcl|NZ_CP028310.1_prot_WP_000378250.1_3721	lcl|NZ_CP051263.1_prot_WP_000378258.1_4209	lcl|NC_011601.1_prot_WP_000378258.1_4166	lcl|NC_011745.1_prot_WP_000378258.1_4259	lcl|CU928161.2_prot_CAR05335.1_3962	lcl|NC_013654.1_prot_WP_000378258.1_3623	lcl|NC_007946.1_prot_WP_000378258.1_3957
9	9	0.938	lcl|NC_008253.1_prot_WP_000383096.1_2144	lcl|CP001671.1_prot_ADN46989.1_2370	lcl|NZ_CP028310.1_prot_WP_000383096.1_2176	lcl|NZ_CP051263.1_prot_WP_000383096.1_2446	lcl|NC_011601.1_prot_WP_000383096.1_2381	lcl|NC_011745.1_prot_WP_000383096.1_2538	lcl|CU928161.2_prot_CAR03573.1_2200	lcl|NC_013654.1_prot_WP_000383096.1_2088	lcl|NC_007946.1_prot_WP_000383096.1_2277
9	9	0.938	lcl|NC_008253.1_prot_WP_000383248.1_2795	lcl|CP001671.1_prot_ADN47614.1_2995	lcl|NZ_CP028310.1_prot_WP_000383237.1_2813	lcl|NZ_CP051263.1_prot_WP_000383248.1_3142	lcl|NC_011601.1_prot_WP_000383254.1_3232	lcl|NC_011745.1_prot_WP_000383248.1_3215	lcl|CU928161.2_prot_CAR04378.1_3006	lcl|NC_013654.1_prot_WP_000383248.1_2729	lcl|NC_007946.1_prot_WP_000383248.1_3035
9	9	0.938	lcl|NC_008253.1_prot_WP_000386733.1_2281	lcl|CP001671.1_prot_ADN47124.1_2505	lcl|NZ_CP028310.1_prot_WP_000386733.1_2322	lcl|NZ_CP051263.1_prot_WP_000386733.1_2581	lcl|NC_011601.1_prot_WP_000386733.1_2518	lcl|NC_011745.1_prot_WP_000386733.1_2690	lcl|CU928161.2_prot_CAR03713.1_2340	lcl|NC_013654.1_prot_WP_000386733.1_2224	lcl|NC_007946.1_prot_WP_000386733.1_2414
9	9	0.938	lcl|NC_008253.1_prot_WP_000387391.1_1370	lcl|CP001671.1_prot_ADN46178.1_1559	lcl|NZ_CP028310.1_prot_WP_000387388.1_1415	lcl|NZ_CP051263.1_prot_WP_000387388.1_1636	lcl|NC_011601.1_prot_WP_000387388.1_1585	lcl|NC_011745.1_prot_WP_000387388.1_1511	lcl|CU928161.2_prot_CAR02804.1_1432	lcl|NC_013654.1_prot_WP_000387388.1_1353	lcl|NC_007946.1_prot_WP_000387388.1_1494
9	9	0.938	lcl|NC_008253.1_prot_WP_000389022.1_351	lcl|CP001671.1_prot_ADN44983.1_364	lcl|NZ_CP028310.1_prot_WP_001301257.1_338	lcl|NZ_CP051263.1_prot_WP_000389022.1_352	lcl|NC_011601.1_prot_WP_000389022.1_253	lcl|NC_011745.1_prot_WP_024185445.1_321	lcl|CU928161.2_prot_CAR01645.1_275	lcl|NC_013654.1_prot_WP_000389022.1_271	lcl|NC_007946.1_prot_WP_000389022.1_293
9	9	0.938	lcl|NC_008253.1_prot_WP_000389811.1_2855	lcl|CP001671.1_prot_ADN47674.1_3055	lcl|NZ_CP028310.1_prot_WP_000389818.1_2898	lcl|NZ_CP051263.1_prot_WP_000389811.1_3203	lcl|NC_011601.1_prot_WP_000389811.1_3295	lcl|NC_011745.1_prot_WP_000389811.1_3291	lcl|CU928161.2_prot_CAR04435.1_3063	lcl|NC_013654.1_prot_WP_000389811.1_2789	lcl|NC_007946.1_prot_WP_000389811.1_3095
9	9	0.938	lcl|NC_008253.1_prot_WP_000393511.1_2274	lcl|CP001671.1_prot_ADN47117.1_2498	lcl|NZ_CP028310.1_prot_WP_000393511.1_2315	lcl|NZ_CP051263.1_prot_WP_000393511.1_2574	lcl|NC_011601.1_prot_WP_000393511.1_2511	lcl|NC_011745.1_prot_WP_000393511.1_2683	lcl|CU928161.2_prot_CAR03706.1_2333	lcl|NC_013654.1_prot_WP_000393511.1_2217	lcl|NC_007946.1_prot_WP_000393511.1_2407
9	9	0.938	lcl|NC_008253.1_prot_WP_000397144.1_4397	lcl|CP001671.1_prot_ADN49205.1_4586	lcl|NZ_CP028310.1_prot_WP_000397144.1_4339	lcl|NZ_CP051263.1_prot_WP_000397144.1_4849	lcl|NC_011601.1_prot_WP_000397144.1_4741	lcl|NC_011745.1_prot_WP_000397144.1_4924	lcl|CU928161.2_prot_CAR05995.1_4620	lcl|NC_013654.1_prot_WP_000397144.1_4218	lcl|NC_007946.1_prot_WP_000397144.1_4508
9	9	0.938	lcl|NC_008253.1_prot_WP_000399019.1_114	lcl|CP001671.1_prot_ADN44731.1_112	lcl|NZ_CP028310.1_prot_WP_000969915.1_166	lcl|NZ_CP051263.1_prot_WP_000399017.1_120	lcl|NC_011601.1_prot_WP_000969915.1_115	lcl|NC_011745.1_prot_WP_000399017.1_116	lcl|CU928161.2_prot_CAR01479.1_112	lcl|NC_013654.1_prot_WP_000399017.1_118	lcl|NC_007946.1_prot_WP_000399017.1_116
9	9	0.938	lcl|NC_008253.1_prot_WP_000412169.1_1664	lcl|CP001671.1_prot_ADN46532.1_1913	lcl|NZ_CP028310.1_prot_WP_000412169.1_1753	lcl|NZ_CP051263.1_prot_WP_000412169.1_1949	lcl|NC_011601.1_prot_WP_000412169.1_1944	lcl|NC_011745.1_prot_WP_000412169.1_1897	lcl|CU928161.2_prot_CAR03098.1_1726	lcl|NC_013654.1_prot_WP_000412169.1_1641	lcl|NC_007946.1_prot_WP_000412169.1_1810
9	9	0.938	lcl|NC_008253.1_prot_WP_000420625.1_976	lcl|CP001671.1_prot_ADN45600.1_981	lcl|NZ_CP028310.1_prot_WP_000420621.1_1002	lcl|NZ_CP051263.1_prot_WP_000420625.1_1025	lcl|NC_011601.1_prot_WP_000420625.1_1074	lcl|NC_011745.1_prot_WP_000420625.1_1050	lcl|CU928161.2_prot_CAR02346.1_974	lcl|NC_013654.1_prot_WP_000420625.1_926	lcl|NC_007946.1_prot_WP_000420625.1_981
9	9	0.938	lcl|NC_008253.1_prot_WP_000422062.1_1295	lcl|CP001671.1_prot_ADN46105.1_1486	lcl|NZ_CP028310.1_prot_WP_000422045.1_1336	lcl|NZ_CP051263.1_prot_WP_000422035.1_1560	lcl|NC_011601.1_prot_WP_000422059.1_1507	lcl|NC_011745.1_prot_WP_000422063.1_1436	lcl|CU928161.2_prot_CAR02730.1_1358	lcl|NC_013654.1_prot_WP_000422035.1_1277	lcl|NC_007946.1_prot_WP_000422062.1_1419
9	9	0.938	lcl|NC_008253.1_prot_WP_000426124.1_2288	lcl|CP001671.1_prot_ADN47131.1_2512	lcl|NZ_CP028310.1_prot_WP_000426124.1_2329	lcl|NZ_CP051263.1_prot_WP_000426124.1_2588	lcl|NC_011601.1_prot_WP_000426117.1_2525	lcl|NC_011745.1_prot_WP_000426124.1_2697	lcl|CU928161.2_prot_CAR03720.1_2347	lcl|NC_013654.1_prot_WP_000426124.1_2231	lcl|NC_007946.1_prot_WP_000426124.1_2421
9	9	0.938	lcl|NC_008253.1_prot_WP_000429386.1_3852	lcl|CP001671.1_prot_ADN48651.1_4032	lcl|NZ_CP028310.1_prot_WP_000429386.1_3754	lcl|NZ_CP051263.1_prot_WP_000429386.1_4240	lcl|NC_011601.1_prot_WP_000429386.1_4197	lcl|NC_011745.1_prot_WP_000429386.1_4290	lcl|CU928161.2_prot_CAR05365.1_3993	lcl|NC_013654.1_prot_WP_000429386.1_3658	lcl|NC_007946.1_prot_WP_000429386.1_3988
9	9	0.938	lcl|NC_008253.1_prot_WP_000429656.1_3212	lcl|CP001671.1_prot_ADN48058.1_3439	lcl|NZ_CP028310.1_prot_WP_000429656.1_3202	lcl|NZ_CP051263.1_prot_WP_000429656.1_3606	lcl|NC_011601.1_prot_WP_000429656.1_3603	lcl|NC_011745.1_prot_WP_000429656.1_3738	lcl|CU928161.2_prot_CAR04800.1_3426	lcl|NC_013654.1_prot_WP_000429656.1_3096	lcl|NC_007946.1_prot_WP_000429656.1_3396
9	9	0.938	lcl|NC_008253.1_prot_WP_000430010.1_795	lcl|CP001671.1_prot_ADN45425.1_806	lcl|NZ_CP028310.1_prot_WP_000430057.1_804	lcl|NZ_CP051263.1_prot_WP_000430015.1_799	lcl|NC_011601.1_prot_WP_000429988.1_775	lcl|NC_011745.1_prot_WP_000430003.1_746	lcl|CU928161.2_prot_CAR02161.1_789	lcl|NC_013654.1_prot_WP_000429985.1_747	lcl|NC_007946.1_prot_WP_000430008.1_741
9	9	0.938	lcl|NC_008253.1_prot_WP_000435285.1_1703	lcl|CP001671.1_prot_ADN46571.1_1952	lcl|NZ_CP028310.1_prot_WP_000435292.1_1790	lcl|NZ_CP051263.1_prot_WP_000435290.1_1988	lcl|NC_011601.1_prot_WP_000435272.1_1980	lcl|NC_011745.1_prot_WP_000435292.1_1933	lcl|CU928161.2_prot_CAR03135.1_1763	lcl|NC_013654.1_prot_WP_000435332.1_1678	lcl|NC_007946.1_prot_WP_000435290.1_1846
9	9	0.938	lcl|NC_008253.1_prot_WP_000438245.1_3217	lcl|CP001671.1_prot_ADN48063.1_3444	lcl|NZ_CP028310.1_prot_WP_000438245.1_3207	lcl|NZ_CP051263.1_prot_WP_000438245.1_3611	lcl|NC_011601.1_prot_WP_000438249.1_3608	lcl|NC_011745.1_prot_WP_000438245.1_3743	lcl|CU928161.2_prot_CAR04805.1_3431	lcl|NC_013654.1_prot_WP_000438245.1_3101	lcl|NC_007946.1_prot_WP_000438245.1_3401
9	9	0.938	lcl|NC_008253.1_prot_WP_000439159.1_3510	lcl|CP001671.1_prot_ADN48363.1_3744	lcl|NZ_CP028310.1_prot_WP_000439170.1_3493	lcl|NZ_CP051263.1_prot_WP_000439210.1_3908	lcl|NC_011601.1_prot_WP_000439158.1_3868	lcl|NC_011745.1_prot_WP_000439160.1_4027	lcl|CU928161.2_prot_CAR05108.1_3734	lcl|NC_013654.1_prot_WP_000439200.1_3388	lcl|NC_007946.1_prot_WP_000439156.1_3731
9	9	0.938	lcl|NC_008253.1_prot_WP_000439858.1_3401	lcl|CP001671.1_prot_ADN48247.1_3628	lcl|NZ_CP028310.1_prot_WP_000439848.1_3393	lcl|NZ_CP051263.1_prot_WP_000439850.1_3792	lcl|NC_011601.1_prot_WP_000439850.1_3768	lcl|NC_011745.1_prot_WP_000439856.1_3919	lcl|CU928161.2_prot_CAR04989.1_3615	lcl|NC_013654.1_prot_WP_000439853.1_3282	lcl|NC_007946.1_prot_WP_000439850.1_3612
9	9	0.938	lcl|NC_008253.1_prot_WP_000440317.1_3258	lcl|CP001671.1_prot_ADN48104.1_3485	lcl|NZ_CP028310.1_prot_WP_000440317.1_3255	lcl|NZ_CP051263.1_prot_WP_000440317.1_3651	lcl|NC_011601.1_prot_WP_000440317.1_3648	lcl|NC_011745.1_prot_WP_000440305.1_3783	lcl|CU928161.2_prot_CAR04845.1_3471	lcl|NC_013654.1_prot_WP_000440317.1_3141	lcl|NC_007946.1_prot_WP_000440317.1_3441
9	9	0.938	lcl|NC_008253.1_prot_WP_000444545.1_3971	lcl|CP001671.1_prot_ADN48768.1_4149	lcl|NZ_CP028310.1_prot_WP_000444561.1_3852	lcl|NZ_CP051263.1_prot_WP_000444545.1_4360	lcl|NC_011601.1_prot_WP_000444545.1_4311	lcl|NC_011745.1_prot_WP_000444547.1_4405	lcl|CU928161.2_prot_CAR05486.1_4115	lcl|NC_013654.1_prot_WP_000444561.1_3776	lcl|NC_007946.1_prot_WP_000444545.1_4109
9	9	0.938	lcl|NC_008253.1_prot_WP_000445658.1_2598	lcl|CP001671.1_prot_ADN47433.1_2814	lcl|NZ_CP028310.1_prot_WP_000445651.1_2658	lcl|NZ_CP051263.1_prot_WP_000445658.1_2964	lcl|NC_011601.1_prot_WP_000445658.1_3064	lcl|NC_011745.1_prot_WP_000445658.1_3056	lcl|CU928161.2_prot_CAR04194.1_2823	lcl|NC_013654.1_prot_WP_000445658.1_2545	lcl|NC_007946.1_prot_WP_000445651.1_2849
9	9	0.938	lcl|NC_008253.1_prot_WP_000447529.1_3330	lcl|CP001671.1_prot_ADN48178.1_3559	lcl|NZ_CP028310.1_prot_WP_000447529.1_3318	lcl|NZ_CP051263.1_prot_WP_000447529.1_3723	lcl|NC_011601.1_prot_WP_000447529.1_3713	lcl|NC_011745.1_prot_WP_000447529.1_3855	lcl|CU928161.2_prot_CAR04919.1_3545	lcl|NC_013654.1_prot_WP_000447529.1_3213	lcl|NC_007946.1_prot_WP_000447529.1_3513
9	9	0.938	lcl|NC_008253.1_prot_WP_000458408.1_2398	lcl|CP001671.1_prot_ADN47240.1_2621	lcl|NZ_CP028310.1_prot_WP_000458406.1_2441	lcl|NZ_CP051263.1_prot_WP_000458409.1_2698	lcl|NC_011601.1_prot_WP_000458408.1_2713	lcl|NC_011745.1_prot_WP_000458403.1_2805	lcl|CU928161.2_prot_CAR03885.1_2512	lcl|NC_013654.1_prot_WP_000458408.1_2347	lcl|NC_007946.1_prot_WP_000458408.1_2589
9	9	0.938	lcl|NC_008253.1_prot_WP_000458842.1_863	lcl|CP001671.1_prot_ADN45491.1_872	lcl|NZ_CP028310.1_prot_WP_000458809.1_874	lcl|NZ_CP051263.1_prot_WP_000458843.1_914	lcl|NC_011601.1_prot_WP_000458817.1_889	lcl|NC_011745.1_prot_WP_000458817.1_814	lcl|CU928161.2_prot_CAR02229.1_857	lcl|NC_013654.1_prot_WP_000458841.1_815	lcl|NC_007946.1_prot_WP_000458817.1_809
9	9	0.938	lcl|NC_008253.1_prot_WP_000459357.1_1548	lcl|CP001671.1_prot_ADN46419.1_1800	lcl|NZ_CP028310.1_prot_WP_000459379.1_1636	lcl|NZ_CP051263.1_prot_WP_000459361.1_1833	lcl|NC_011601.1_prot_WP_000459396.1_1780	lcl|NC_011745.1_prot_WP_000459358.1_1780	lcl|CU928161.2_prot_CAR02982.1_1609	lcl|NC_013654.1_prot_WP_000459358.1_1524	lcl|NC_007946.1_prot_WP_000459361.1_1694
9	9	0.938	lcl|NC_008253.1_prot_WP_000460803.1_959	lcl|CP001671.1_prot_ADN45585.1_966	lcl|NZ_CP028310.1_prot_WP_000460803.1_979	lcl|NZ_CP051263.1_prot_WP_000460796.1_1009	lcl|NC_011601.1_prot_WP_000460803.1_984	lcl|NC_011745.1_prot_WP_000460791.1_1034	lcl|CU928161.2_prot_CAR02332.1_960	lcl|NC_013654.1_prot_WP_000460803.1_910	lcl|NC_007946.1_prot_WP_000460803.1_965
9	9	0.938	lcl|NC_008253.1_prot_WP_000464491.1_851	lcl|CP001671.1_prot_ADN45479.1_860	lcl|NZ_CP028310.1_prot_WP_000464491.1_862	lcl|NZ_CP051263.1_prot_WP_000464491.1_902	lcl|NC_011601.1_prot_WP_000464491.1_877	lcl|NC_011745.1_prot_WP_000464491.1_802	lcl|CU928161.2_prot_CAR02216.1_844	lcl|NC_013654.1_prot_WP_000464491.1_803	lcl|NC_007946.1_prot_WP_000464491.1_797
9	9	0.938	lcl|NC_008253.1_prot_WP_000467166.1_480	lcl|CP001671.1_prot_ADN45112.1_493	lcl|NZ_CP028310.1_prot_WP_000467180.1_474	lcl|NZ_CP051263.1_prot_WP_000467180.1_480	lcl|NC_011601.1_prot_WP_000467180.1_373	lcl|NC_011745.1_prot_WP_000467180.1_441	lcl|CU928161.2_prot_CAR01774.1_404	lcl|NC_013654.1_prot_WP_000467176.1_401	lcl|NC_007946.1_prot_WP_000467180.1_425
9	9	0.938	lcl|NC_008253.1_prot_WP_000468182.1_1034	lcl|CP001671.1_prot_ADN45843.1_1224	lcl|NZ_CP028310.1_prot_WP_000468186.1_1088	lcl|NZ_CP051263.1_prot_WP_000468182.1_1198	lcl|NC_011601.1_prot_WP_000468196.1_1186	lcl|NC_011745.1_prot_WP_000468186.1_1179	lcl|CU928161.2_prot_CAR02407.1_1035	lcl|NC_013654.1_prot_WP_000468182.1_984	lcl|NC_007946.1_prot_WP_000468182.1_1101
9	9	0.938	lcl|NC_008253.1_prot_WP_000470587.1_2176	lcl|CP001671.1_prot_ADN47020.1_2401	lcl|NZ_CP028310.1_prot_WP_000470599.1_2208	lcl|NZ_CP051263.1_prot_WP_000470565.1_2477	lcl|NC_011601.1_prot_WP_000470587.1_2413	lcl|NC_011745.1_prot_WP_000470587.1_2569	lcl|CU928161.2_prot_CAR03607.1_2234	lcl|NC_013654.1_prot_WP_000470587.1_2119	lcl|NC_007946.1_prot_WP_000470607.1_2308
9	9	0.938	lcl|NC_008253.1_prot_WP_000471838.1_4380	lcl|CP001671.1_prot_ADN49189.1_4570	lcl|NZ_CP028310.1_prot_WP_000471866.1_4323	lcl|NZ_CP051263.1_prot_WP_000471858.1_4832	lcl|NC_011601.1_prot_WP_000471838.1_4725	lcl|NC_011745.1_prot_WP_000471838.1_4907	lcl|CU928161.2_prot_CAR05980.1_4604	lcl|NC_013654.1_prot_WP_000471858.1_4201	lcl|NC_007946.1_prot_WP_000471858.1_4491
9	9	0.938	lcl|NC_008253.1_prot_WP_000477225.1_3381	lcl|CP001671.1_prot_ADN48227.1_3608	lcl|NZ_CP028310.1_prot_WP_000477225.1_3368	lcl|NZ_CP051263.1_prot_WP_000477225.1_3772	lcl|NC_011601.1_prot_WP_000477225.1_3748	lcl|NC_011745.1_prot_WP_000477225.1_3899	lcl|CU928161.2_prot_CAR04969.1_3595	lcl|NC_013654.1_prot_WP_000477225.1_3262	lcl|NC_007946.1_prot_WP_000477225.1_3592
9	9	0.938	lcl|NC_008253.1_prot_WP_000491567.1_1415	lcl|CP001671.1_prot_ADN46220.1_1601	lcl|NZ_CP028310.1_prot_WP_000494244.1_1484	lcl|NZ_CP051263.1_prot_WP_000491567.1_1680	lcl|NC_011601.1_prot_WP_000491567.1_1634	lcl|NC_011745.1_prot_WP_000491567.1_1551	lcl|CU928161.2_prot_CAR02847.1_1475	lcl|NC_013654.1_prot_WP_000491567.1_1396	lcl|NC_007946.1_prot_WP_000491567.1_1538
9	9	0.938	lcl|NC_008253.1_prot_WP_000493948.1_1590	lcl|CP001671.1_prot_ADN46460.1_1841	lcl|NZ_CP028310.1_prot_WP_000493947.1_1678	lcl|NZ_CP051263.1_prot_WP_000493948.1_1875	lcl|NC_011601.1_prot_WP_000493947.1_1822	lcl|NC_011745.1_prot_WP_000493947.1_1821	lcl|CU928161.2_prot_CAR03023.1_1650	lcl|NC_013654.1_prot_WP_000493947.1_1567	lcl|NC_007946.1_prot_WP_000493947.1_1736
9	9	0.938	lcl|NC_008253.1_prot_WP_000505872.1_1223	lcl|CP001671.1_prot_ADN46033.1_1414	lcl|NZ_CP028310.1_prot_WP_000505866.1_1266	lcl|NZ_CP051263.1_prot_WP_000505872.1_1486	lcl|NC_011601.1_prot_WP_000505872.1_1361	lcl|NC_011745.1_prot_WP_000505872.1_1315	lcl|CU928161.2_prot_CAR02597.1_1225	lcl|NC_013654.1_prot_WP_000505872.1_1203	lcl|NC_007946.1_prot_WP_000505872.1_1289
9	9	0.938	lcl|NC_008253.1_prot_WP_000506492.1_1317	lcl|CP001671.1_prot_ADN46127.1_1508	lcl|NZ_CP028310.1_prot_WP_000506490.1_1359	lcl|NZ_CP051263.1_prot_WP_000506492.1_1583	lcl|NC_011601.1_prot_WP_000506492.1_1530	lcl|NC_011745.1_prot_WP_000506492.1_1458	lcl|CU928161.2_prot_CAR02751.1_1379	lcl|NC_013654.1_prot_WP_000506492.1_1299	lcl|NC_007946.1_prot_WP_000506490.1_1441
9	9	0.938	lcl|NC_008253.1_prot_WP_000511942.1_4316	lcl|CP001671.1_prot_ADN49124.1_4505	lcl|NZ_CP028310.1_prot_CF007_RS21445_4259	lcl|NZ_CP051263.1_prot_WP_000511955.1_4767	lcl|NC_011601.1_prot_WP_000511970.1_4660	lcl|NC_011745.1_prot_WP_000511956.1_4792	lcl|CU928161.2_prot_CAR05917.1_4541	lcl|NC_013654.1_prot_WP_000511955.1_4137	lcl|NC_007946.1_prot_WP_000511955.1_4427
9	9	0.938	lcl|NC_008253.1_prot_WP_000512385.1_2416	lcl|CP001671.1_prot_ADN47257.1_2638	lcl|NZ_CP028310.1_prot_WP_000512372.1_2460	lcl|NZ_CP051263.1_prot_WP_000512347.1_2716	lcl|NC_011601.1_prot_WP_000512386.1_2794	lcl|NC_011745.1_prot_WP_000512347.1_2823	lcl|CU928161.2_prot_CAR03902.1_2529	lcl|NC_013654.1_prot_WP_000512385.1_2365	lcl|NC_007946.1_prot_WP_000512390.1_2607
9	9	0.938	lcl|NC_008253.1_prot_WP_000514241.1_3602	lcl|CP001671.1_prot_ADN48454.1_3835	lcl|NZ_CP028310.1_prot_WP_000514240.1_3582	lcl|NZ_CP051263.1_prot_WP_000514241.1_4001	lcl|NC_011601.1_prot_WP_000514241.1_3969	lcl|NC_011745.1_prot_WP_000514241.1_4126	lcl|CU928161.2_prot_CAR05202.1_3828	lcl|NC_013654.1_prot_WP_000514241.1_3484	lcl|NC_007946.1_prot_WP_000514241.1_3824
9	9	0.938	lcl|NC_008253.1_prot_WP_000516135.1_14	lcl|CP001671.1_prot_ADN44632.1_13	lcl|NZ_CP028310.1_prot_WP_000516135.1_68	lcl|NZ_CP051263.1_prot_WP_000516135.1_15	lcl|NC_011601.1_prot_WP_000516135.1_14	lcl|NC_011745.1_prot_WP_000516135.1_13	lcl|CU928161.2_prot_CAR01381.1_13	lcl|NC_013654.1_prot_WP_000516135.1_13	lcl|NC_007946.1_prot_WP_000516135.1_14
9	9	0.938	lcl|NC_008253.1_prot_WP_000517443.1_2400	lcl|CP001671.1_prot_ADN47242.1_2623	lcl|NZ_CP028310.1_prot_WP_000517431.1_2443	lcl|NZ_CP051263.1_prot_WP_000517443.1_2700	lcl|NC_011601.1_prot_WP_000517443.1_2716	lcl|NC_011745.1_prot_WP_000517443.1_2807	lcl|CU928161.2_prot_CAR03887.1_2514	lcl|NC_013654.1_prot_WP_000517443.1_2349	lcl|NC_007946.1_prot_WP_000517443.1_2591
9	9	0.938	lcl|NC_008253.1_prot_WP_000522242.1_2392	lcl|CP001671.1_prot_ADN47234.1_2615	lcl|NZ_CP028310.1_prot_WP_000522247.1_2434	lcl|NZ_CP051263.1_prot_WP_000522247.1_2692	lcl|NC_011601.1_prot_WP_000522247.1_2707	lcl|NC_011745.1_prot_WP_000522247.1_2799	lcl|CU928161.2_prot_CAR03879.1_2506	lcl|NC_013654.1_prot_WP_000522247.1_2341	lcl|NC_007946.1_prot_WP_000522247.1_2583
9	9	0.938	lcl|NC_008253.1_prot_WP_000545042.1_2279	lcl|CP001671.1_prot_ADN47122.1_2503	lcl|NZ_CP028310.1_prot_WP_000545042.1_2320	lcl|NZ_CP051263.1_prot_WP_000545042.1_2579	lcl|NC_011601.1_prot_WP_000545042.1_2516	lcl|NC_011745.1_prot_WP_000545042.1_2688	lcl|CU928161.2_prot_CAR03711.1_2338	lcl|NC_013654.1_prot_WP_000545042.1_2222	lcl|NC_007946.1_prot_WP_000545042.1_2412
9	9	0.938	lcl|NC_008253.1_prot_WP_000545665.1_3973	lcl|CP001671.1_prot_ADN48770.1_4151	lcl|NZ_CP028310.1_prot_WP_000545677.1_3854	lcl|NZ_CP051263.1_prot_WP_000545665.1_4362	lcl|NC_011601.1_prot_WP_000545665.1_4313	lcl|NC_011745.1_prot_WP_000545665.1_4407	lcl|CU928161.2_prot_CAR05488.1_4117	lcl|NC_013654.1_prot_WP_000545665.1_3778	lcl|NC_007946.1_prot_WP_000545665.1_4111
